##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	3_2B_control_S3_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6873509
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	22-23	0.13151578135705932
1103	24-25	0.07257489177633403
1103	26-27	0.03553445301182023
1103	28-29	0.04288652290927786
1103	30-31	0.09828271354044915
1103	32-33	0.081128262289198
1103	34-35	0.0017344719618606064
1103	36-37	0.10131988627063038
1103	38-39	0.0748949765742779
1103	40-41	0.03766066498838683
1103	42-43	0.05502935112425433
1103	44-45	0.10169603177885733
1103	46-47	0.11531976788081977
1103	48-49	0.07426591244212233
1103	50-51	0.009914646023595708
1103	52-53	0.0944230219165263
1103	54-55	0.059874617994672974
1103	56-57	0.0717563996352979
1103	58-59	0.038866639948174964
1103	60-61	0.023168877796898357
1103	62-63	0.07741529163338612
1103	64-65	0.09594319880457647
1103	66-67	0.1236955838365148
1103	68-69	0.14029601375487744
1103	70-71	0.11805622346399502
1103	72-73	0.13007257907560899
1103	74-75	0.08617805575461546
1103	76-77	0.1252560761639927
1103	78-79	0.16469396235731182
1103	80-81	0.19952160632096394
1103	82-83	0.1717486937765642
1103	84-85	0.16787838811676892
1103	86-87	0.22062071706466213
1103	88-89	0.359289339597872
1103	90-91	0.344422832213354
1103	92-93	0.3632003908094532
1103	94-95	0.3380499307430327
1103	96-97	0.2682667724150605
1103	98-99	0.5775898241656208
1103	100-101	0.41700633751618454
1104	1	-0.120190653920357
1104	2	-0.04466884158874507
1104	3	-0.15029113694481566
1104	4	0.057339139239125814
1104	5	0.11270308378165339
1104	6	0.003567151686226566
1104	7	0.041535607336086855
1104	8	-0.08387095570812164
1104	9	-0.06959508815940296
1104	10-11	0.06506267536003207
1104	12-13	0.03406053287170607
1104	14-15	-0.006084518984089016
1104	16-17	0.0965801109380493
1104	18-19	0.10570066233560027
1104	20-21	0.10200575089976383
1104	22-23	0.0655467662119591
1104	24-25	0.08845224865731183
1104	26-27	0.04618868391623465
1104	28-29	0.03200603271395863
1104	30-31	0.06192119384770933
1104	32-33	0.07640167202793435
1104	34-35	-0.016404034643436205
1104	36-37	0.1145838761824507
1104	38-39	0.14100863089755222
1104	40-41	0.06965358440351821
1104	42-43	0.07559986448750067
1104	44-45	0.1165148928559745
1104	46-47	0.1021980118393202
1104	48-49	0.06619602445891104
1104	50-51	-3.1184096978620346E-4
1104	52-53	0.06627226106954964
1104	54-55	0.08042196022572057
1104	56-57	0.11219780248779898
1104	58-59	0.059770849685882865
1104	60-61	0.053794058996764704
1104	62-63	0.07839930307110876
1104	64-65	0.14404414412263122
1104	66-67	0.1609259007213879
1104	68-69	0.14913840643966125
1104	70-71	0.2004918959110995
1104	72-73	0.19209568670768107
1104	74-75	0.14450011621187286
1104	76-77	0.0883544846840465
1104	78-79	0.17593212182858053
1104	80-81	0.24053483102417772
1104	82-83	0.13552299379990984
1104	84-85	0.156672379593644
1104	86-87	0.1703096145485148
1104	88-89	0.2741655752846839
1104	90-91	0.30592387579624614
1104	92-93	0.3567923300135263
1104	94-95	0.414019975359885
1104	96-97	0.3362947310719946
1104	98-99	0.5841967237430552
1104	100-101	0.38453404024836146
1105	1	-0.09160521044669778
1105	2	-0.015520832933255235
1105	3	-0.08078388474235965
1105	4	5.364840596868703E-4
1105	5	0.16955462283016942
1105	6	0.14185833510379098
1105	7	0.015611369639955797
1105	8	-0.01938640084703991
1105	9	0.03256835161094074
1105	10-11	0.10415410374186962
1105	12-13	0.016574252009355916
1105	14-15	0.0515348974963743
1105	16-17	0.09847512217092458
1105	18-19	0.08576850513212975
1105	20-21	0.04161045189316326
1105	22-23	-0.024568562855812104
1105	24-25	0.044741935747659056
1105	26-27	-0.019464075209540965
1105	28-29	0.04520207289618128
1105	30-31	0.1094416036644219
1105	32-33	0.07524308426207682
1105	34-35	0.0032472005878290133
1105	36-37	-0.0014907106647115143
1105	38-39	0.02154086243655229
1105	40-41	0.1004973424222797
1105	42-43	-0.02641536099454811
1105	44-45	0.12092586066522415
1105	46-47	0.02911662756996236
1105	48-49	0.06801742940695021
1105	50-51	0.05477246607412667
1105	52-53	0.07376050850590588
1105	54-55	0.06570835638989081
1105	56-57	0.0863692088863246
1105	58-59	0.028417737778845265
1105	60-61	0.051270409221309876
1105	62-63	0.10387208621568789
1105	64-65	0.13379183443995402
1105	66-67	0.05463882611322646
1105	68-69	0.030169934611912197
1105	70-71	0.12317404321758829
1105	72-73	0.14846198523874676
1105	74-75	0.10149064572354405
1105	76-77	0.18360871045410931
1105	78-79	0.17157424510664754
1105	80-81	0.2650913621735427
1105	82-83	0.1829583376706836
1105	84-85	0.10040500278059739
1105	86-87	0.09157368889559336
1105	88-89	0.2637000197403552
1105	90-91	0.3295807434108795
1105	92-93	0.3705161957755436
1105	94-95	0.3887878050298923
1105	96-97	0.3089649619336754
1105	98-99	0.5505192639989218
1105	100-101	0.3883679780587812
1106	1	-0.14055559364013348
1106	2	-0.0960371223744545
1106	3	-0.09278297881076014
1106	4	0.07288944246396056
1106	5	0.13987660036296745
1106	6	0.08347066442556184
1106	7	-0.029455964618406938
1106	8	0.0013724265983299233
1106	9	0.08346171968796767
1106	10-11	0.10532689677494744
1106	12-13	0.09166474057220597
1106	14-15	0.09562102951972662
1106	16-17	0.07771305812781293
1106	18-19	0.11416396653795147
1106	20-21	0.10523253000521038
1106	22-23	0.10357023634905005
1106	24-25	0.09794899756185771
1106	26-27	0.10958018194904184
1106	28-29	0.08614029784967414
